Series;Time;Value
Power;2015-06-06T20:24:55.000Z;1954.1879999999999
Power;2015-06-06T20:25:00.000Z;1952.66
Power;2015-06-06T20:25:05.000Z;1948.7120000000002
Power;2015-06-06T20:25:10.000Z;1946.1475
Power;2015-06-06T20:25:15.000Z;1941.872
Power;2015-06-06T20:25:20.000Z;1940.5549999999998
Power;2015-06-06T20:25:25.000Z;1938.606
Power;2015-06-06T20:25:30.000Z;1938.3825
Power;2015-06-06T20:25:35.000Z;1941.132
Power;2015-06-06T20:25:40.000Z;1942.9875
Power;2015-06-06T20:25:45.000Z;1940.922
Power;2015-06-06T20:25:50.000Z;1942.8574999999998
Power;2015-06-06T20:25:55.000Z;1946.29
Power;2015-06-06T20:26:00.000Z;1947.66
Power;2015-06-06T20:26:05.000Z;1952.1859999999997
Power;2015-06-06T20:26:10.000Z;1956.87
Power;2015-06-06T20:26:15.000Z;1956.5520000000001
Power;2015-06-06T20:26:20.000Z;1956.6725000000001
Power;2015-06-06T20:26:25.000Z;1955.658
Power;2015-06-06T20:26:30.000Z;1954.9649999999997
Power;2015-06-06T20:26:35.000Z;1955.554
Power;2015-06-06T20:26:40.000Z;1957.265
Power;2015-06-06T20:26:45.000Z;1958.7140000000002
Power;2015-06-06T20:26:50.000Z;1958.7775000000001
Power;2015-06-06T20:26:55.000Z;1960.134
Power;2015-06-06T20:27:00.000Z;1960.56
Power;2015-06-06T20:27:05.000Z;1961.452
Power;2015-06-06T20:27:10.000Z;1960.714
Power;2015-06-06T20:27:15.000Z;1957.7250000000001
Power;2015-06-06T20:27:20.000Z;1955.922
Power;2015-06-06T20:27:25.000Z;1953.7150000000001
Power;2015-06-06T20:27:30.000Z;1952.3960000000002
Power;2015-06-06T20:27:35.000Z;1951.08
Power;2015-06-06T20:27:40.000Z;1952.0279999999998
Power;2015-06-06T20:27:45.000Z;1953.1849999999997
Power;2015-06-06T20:27:50.000Z;1954.924
Power;2015-06-06T20:27:55.000Z;1957.028
Power;2015-06-06T20:28:00.000Z;1958.98
Power;2015-06-06T20:28:05.000Z;1959.2939999999999
Power;2015-06-06T20:28:10.000Z;1958.6475
